#,Player,GP,GS,TOT_Minutes,AVG_Minutes,FGM_FG,FGA_FG,FG%_FG,3PT_3PT,3PTA_3PT,3PT%_3PT,FTM_FT,FTA_FT,FT%_FT,PTS_Scoring,AVG_Scoring,OFF_Rebounds,DEF_Rebounds,TOT_Rebounds,AVG_Rebounds,PF,AST,TO,STL,BLK,Bio Link,Position,Height,Class,Highschool,Hometown,Prev School
45,"Therien, Lex",31,31,965,31.1,187,381,.491,2,13,.154,100,150,.667,476,15.4,93,251,344,11.1,105,32,103,49,7,https://loyolagreyhounds.com/sports/womens-basketball/roster/lex-therien/11624,Forward,6-1,Junior,Cherokee,"Marlton, N.J.",
04,"Dixon, Taleah",30,30,969,32.3,138,395,.349,44,139,.317,87,104,.837,407,13.6,6,50,56,1.9,65,66,76,44,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/taleah-dixon/11617,Guard,5-10,Graduate Student,McDonogh School,"Baltimore, Md.",
05,"Newman, Devyne",20,13,497,24.9,67,170,.394,8,29,.276,11,13,.846,153,7.7,15,32,47,2.4,26,28,26,6,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/devyne-newman/11619,Guard,5-8,Graduate Student,Herndon,"Herndon, Va.",St. Joseph's
10,"Sims, Koi",20,19,536,26.8,58,132,.439,0,1,.000,13,25,.520,129,6.5,72,104,176,8.8,34,34,42,17,18,https://loyolagreyhounds.com/sports/womens-basketball/roster/koi-sims/11750,Forward,6-0,Junior,Archbishop Spalding,"Glen Burnie, Md.",Albany
22,"Rozzi, Bri",27,23,746,27.6,55,155,.355,20,70,.286,30,37,.811,160,5.9,13,56,69,2.6,58,60,49,16,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/bri-rozzi/11620,Guard,5-7,Senior,Highland,"Highland, N.Y.",
01,"Ratigan, Kelly",30,22,772,25.7,54,157,.344,36,99,.364,15,17,.882,159,5.3,12,53,65,2.2,49,35,48,10,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/kelly-ratigan/11748,Guard,5-8,Sophomore,Saint Joseph,"South Bend, Ind.",
13,"Tañedo, Caramina",29,5,509,17.6,19,69,.275,14,43,.326,16,25,.640,68,2.3,23,26,49,1.7,21,18,26,21,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/caramina-ta-ntilde-edo/11622,Guard,5-10,Senior,St. John's College,"Laurel, Md.",
02,"Van-Otoo, Meliah",24,4,275,11.5,17,45,.378,2,11,.182,16,30,.533,52,2.2,7,16,23,1.0,35,22,34,10,2,https://loyolagreyhounds.com/sports/womens-basketball/roster/meliah-van-otoo/11749,Guard,5-4,Sophomore,Westtown School,"Drexel Hill, Pa.",
15,"Salmerón, Laura",20,4,273,13.7,12,48,.250,3,21,.143,6,7,.857,33,1.7,1,22,23,1.2,11,12,19,10,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/laura-salmer-oacute-n/11621,Guard,5-8,Junior,Institut Llavaneres,"Sant Andreu de Llavaneres, Spain",
12,"Garcia, Cristina",30,4,356,11.9,12,56,.214,0,9,.000,15,25,.600,39,1.3,26,19,45,1.5,45,17,32,10,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/cristina-garcia/11752,Guard,5-9,Sophomore,Pisgah,"Sant Cugat del Vallés, Spain",
23,"Espinal, Marta",24,0,241,10.0,12,24,.500,1,4,.250,4,8,.500,29,1.2,13,21,34,1.4,38,9,26,3,3,https://loyolagreyhounds.com/sports/womens-basketball/roster/marta-espinal/11751,Forward,5-11,Sophomore,Les d'Auro School,"Castellnou de Bages, Spain",
11,"Glezen, Emma",12,0,108,9.0,4,8,.500,0,1,.000,4,6,.667,12,1.0,5,5,10,0.8,27,5,10,2,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/emma-glezen/11618,Forward,6-1,Senior,Long Island Lutheran,"Wantagh, N.Y.",
35,"Therien, Ava",6,0,13,2.2,0,3,.000,0,0,.000,2,4,.500,2,0.3,2,0,2,0.3,2,1,1,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/ava-therien/11623,Forward,5-10,Graduate Student,Cherokee,"Marlton, N.J.",
21,"Orza, Caroline",5,0,15,3.0,0,4,.000,0,2,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,2,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/caroline-orza/12020,Guard,5-9,Sophomore,Bethesda Chevy Chase,"Chevy Chase, MD",
45,"Therien, Lex",28,25,862,30.8,142,318,.447,1,4,.250,67,105,.638,352,12.6,90,216,306,10.9,87,27,72,41,8,https://loyolagreyhounds.com/sports/womens-basketball/roster/lex-therien/10975,Forward,6-1,Junior,Cherokee,"Marlton, N.J.",
04,"Dixon, Taleah",29,29,879,30.3,102,312,.327,38,119,.319,65,75,.867,307,10.6,13,50,63,2.2,59,73,73,36,3,https://loyolagreyhounds.com/sports/womens-basketball/roster/taleah-dixon/10961,Guard,5-10,Graduate Student,McDonogh School,"Baltimore, Md.",
